condition,step,rmse_mean,rmse_sd,rmse_min,rmse_max,distinct_items_mean,n_rep
FIWL,20,0.30115188071180704,0.007340357150633114,0.292700384252441,0.3059344042973057,191.0,3
FIWL,21,0.2943370499103957,0.007225831053435547,0.2860006915305298,0.2988076875844592,191.0,3
FIWL,22,0.288080038812692,0.007033137765986523,0.2799649552617558,0.2924097773117617,191.0,3
FIWL,23,0.2818126925088737,0.00628259261968223,0.2747273225740343,0.2867041249284657,191.0,3
FIWL,24,0.2751679122536341,0.005286491661118468,0.2691148962664932,0.2788783370386626,191.0,3
FIWL,25,0.2713200552137997,0.005422438336355974,0.2651748995215043,0.2754321683646245,191.0,3
FIWL,26,0.2663868037415189,0.004111327440992275,0.2617919366100817,0.2697178766836085,191.0,3
FIWL,27,0.26191163733564204,0.003189478354786663,0.2587376469233362,0.2651163812313619,191.0,3
FIWL,28,0.25660455143979927,0.003085803386459475,0.2539204684311032,0.2599761141541145,191.0,3
FIWL,29,0.25364936026193513,0.002731434753618359,0.2513790648382666,0.256680570955378,191.0,3
FIWL,30,0.25035255889370445,0.0017847924228282502,0.2485810843422969,0.2521503775407078,191.0,3
FIWL,31,0.24725552952124716,0.0031356785403989142,0.2436746671267937,0.2495102325060188,191.0,3
FIWL,32,0.24347839109180092,0.0031998752254728566,0.2399175258698265,0.24611286153087,191.0,3
FIWL,33,0.2397719642106181,0.0027048933323165427,0.2370647651508075,0.2424745459039084,191.0,3
FIWL,34,0.23689459014364048,0.001749520267115055,0.235404387470201,0.2388209167590864,191.0,3
FIWL,35,0.23325660298799522,0.0018040550821407637,0.2321907426540552,0.235339556074408,191.0,3
FIWL,36,0.23050557770834912,0.0011773529312548393,0.2291650362806867,0.2313717347036678,191.0,3
FIWL,37,0.22866598193326668,0.000612802646708365,0.227977947762777,0.2291531207114574,191.0,3
FIWL,38,0.22620958028531726,0.0011686472220331751,0.2249582982232699,0.2272727784331437,191.0,3
FIWL,39,0.22304033678529941,0.001099515247651092,0.222033633953142,0.2242136477789736,191.0,3
FIWL,40,0.22039001717653026,0.0008280191497950272,0.2194531696507618,0.2210238291116743,191.0,3
MEPV,1,1.3030119717255229,0.012997867574713582,1.2910502643155664,1.3168434768919235,184.0,3
MEPV,2,0.9546584508726368,0.024774656946183714,0.931893023226406,0.9810440012563584,184.0,3
MEPV,3,0.766802912912555,0.013729704418399678,0.7532867170639667,0.7807366028510021,184.0,3
MEPV,4,0.6675737952978249,0.004873683159263323,0.6629900080116536,0.6726931362212746,184.0,3
MEPV,5,0.5966251483634767,0.004230448333402684,0.5919655619196058,0.6002249351801442,184.0,3
MEPV,6,0.5417176380888363,0.0030570083078000363,0.538217567541205,0.5438644471208076,184.0,3
MEPV,7,0.5009975375326697,0.004915056210640735,0.4955921261048275,0.5051982162188344,184.0,3
MEPV,8,0.46722773866780676,0.0036114500034619876,0.4639123533026515,0.4710760331028468,184.0,3
MEPV,9,0.43956413699475044,0.0012714998354821198,0.4383315690620429,0.4408712856729522,184.0,3
MEPV,10,0.41515951782390975,0.004507287181621985,0.4103771029931177,0.4193289319278769,184.0,3
MEPV,11,0.39633326665873386,0.0021047083486581937,0.3939772943587895,0.3980278214143457,184.0,3
MEPV,12,0.38197161369300875,0.0015568323415554417,0.380499183444773,0.3836009630807026,184.0,3
MEPV,13,0.3659855040750937,0.0031732999345652256,0.3630972359520783,0.3693823959075222,184.0,3
MEPV,14,0.3519994824866765,0.0020035048613688444,0.3500521363766993,0.3540547812049591,184.0,3
MEPV,15,0.3424576485186918,0.0004587640066992759,0.341928596349294,0.3427454611957652,184.0,3
MEPV,16,0.330964299379568,0.0015691528596132084,0.3291599956440503,0.3320100016542578,184.0,3
MEPV,17,0.3219058738638929,0.0016833138303364585,0.3202279992444822,0.3235945746833791,184.0,3
MEPV,18,0.31498305171351976,0.000740210257747076,0.3143379484668152,0.3157911881147352,184.0,3
MEPV,19,0.3064758464287842,0.0017117672923784909,0.304715547574817,0.3081345574922476,184.0,3
MEPV,20,0.2992738230344542,0.003362890446683205,0.2967548629347214,0.303092631544749,184.0,3
MEPV,21,0.29193824987352324,0.0028564934889995282,0.2897272295613353,0.2951634526811627,184.0,3
MEPV,22,0.2859174963743881,0.0021129522695299066,0.284448708613876,0.2883390666470937,184.0,3
MEPV,23,0.2794655256957061,0.0009962957438512934,0.2785559064911209,0.2805302942197332,184.0,3
MEPV,24,0.27261088108530523,0.0021933201738046993,0.2702738752139671,0.2746246390433297,184.0,3
