method,step,a_mean,b_mean,abs_b_minus_theta_mean,slope_b_on_prev,fi_true_mean,p_correct,rmse_post,extreme_frac,extreme_share_of_sq_error
DQN,31,1.4905555145202098,0.025369080574491377,0.40674230912511894,0.7319074547398844,0.49166778035835634,0.4935,0.24618733929749076,0.001,0.0019443739274263676
DQN,32,1.4858883961128027,0.043532328212631664,0.40693848870603283,0.7300474612930542,0.49024672225198346,0.498,0.24268256970293403,0.001,0.006087810936367717
DQN,33,1.4773488569067244,0.05234228809463614,0.4220063522915625,0.7062868511806736,0.4835458675995397,0.4935,0.2391885388782968,0.0005,0.0018957529094167128
DQN,34,1.4717782371085417,0.051025873560619675,0.42605592193419844,0.7190068250878482,0.4767653082584692,0.4915,0.23577771072115314,0.0005,0.0019509986517958695
DQN,35,1.4677778450446144,0.0444430517560344,0.4269615209919878,0.704376224774214,0.47436268017162364,0.49,0.2336297639388593,0.0005,0.0019870377683160823
DQN,36,1.4754958124558162,0.029309118656191287,0.43806712166695355,0.7043378658569371,0.47509971894287106,0.477,0.23205198362984278,0.0005,0.0013302235891375562
DQN,37,1.4726019271154305,0.00815343805762879,0.4551073154379079,0.6879964126650058,0.4720691038588152,0.524,0.22958131226688516,0.0,0.0
DQN,38,1.470487127826676,0.015365381507192714,0.48501660497241034,0.6117659798782451,0.465143357090779,0.5065,0.22715857789413707,0.0,0.0
DQN,39,1.465697086977017,-0.010042491735607565,0.4841957435068506,0.6516811068002609,0.4624688860717945,0.52,0.22359658577276703,0.0,0.0
DQN,40,1.4642978860990186,-0.05380355374243416,0.49892378455354636,0.6979028971496066,0.4573581814927409,0.522,0.22009704755762585,0.0,0.0
